variant,component_correlation,delta,n,distribution,effect_size,rejection_rate_mean,rejection_rate_std,indeterminate_rate_mean,indeterminate_rate_std,type1_error_mean,type1_error_std,power_mean,power_std,avg_successful_sims
original,moderate,0.0,100,normal,0.5,0.998,0.0040000000000000036,0.0,0.0,,,0.998,0.0040000000000000036,100.0
modified,moderate,0.0,100,normal,0.5,0.998,0.0040000000000000036,0.0,0.0,,,0.998,0.0040000000000000036,100.0
original,strong,0.0,100,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
modified,strong,0.0,100,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
original,independent,0.1,100,normal,0.0,0.06,0.017888543819998316,0.0,0.0,0.06,0.017888543819998316,,,100.0
modified,independent,0.1,100,normal,0.0,0.039999999999999994,0.01414213562373095,0.026000000000000002,0.008,0.039999999999999994,0.01414213562373095,,,100.0
original,moderate,0.1,100,normal,0.0,0.068,0.02039607805437114,0.0,0.0,0.068,0.02039607805437114,,,100.0
modified,moderate,0.1,100,normal,0.0,0.062,0.020396078054371138,0.030000000000000006,0.00894427190999916,0.062,0.020396078054371138,,,100.0
original,strong,0.1,100,normal,0.0,0.038,0.02227105745132009,0.0,0.0,0.038,0.02227105745132009,,,100.0
modified,strong,0.1,100,normal,0.0,0.036,0.020591260281974,0.032,0.007483314773547883,0.036,0.020591260281974,,,100.0
original,independent,0.1,100,normal,0.5,0.998,0.0040000000000000036,0.0,0.0,,,0.998,0.0040000000000000036,100.0
modified,independent,0.1,100,normal,0.5,0.9960000000000001,0.00489897948556636,0.002,0.004,,,0.9960000000000001,0.00489897948556636,100.0
original,moderate,0.1,100,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
modified,moderate,0.1,100,normal,0.5,0.998,0.0040000000000000036,0.002,0.004,,,0.998,0.0040000000000000036,100.0
original,strong,0.1,100,normal,0.5,0.998,0.0040000000000000036,0.0,0.0,,,0.998,0.0040000000000000036,100.0
modified,strong,0.1,100,normal,0.5,0.998,0.0040000000000000036,0.0,0.0,,,0.998,0.0040000000000000036,100.0
original,independent,0.25,100,normal,0.0,0.05,0.014142135623730954,0.0,0.0,0.05,0.014142135623730954,,,100.0
